bldgType;occupants;baseVal;roomCntLoLi;roomDefault;roomCntHiLi;roomCntCorr;dishwasherValue;dishwasherHotWaterCorr;freezerVal;cookingCorr;effLightingCorr;laundryCorrVal;dryerCorrVal;electricWaterHeater;heatPumpWaterHeater;electricityCommonVal
multi;1;2200;2;3;4;110;225;82.5;275;50;145;160;165;1200;0;400
multi;1.5;2475;3;3.5;4;124;250;103.75;275;75;200;193;208;1600;130;400
multi;2;2750;3;3.5;4;138;250;125;275;100;200;225;250;2000;260;400
multi;2.5;3025;3;4;5;151;275;146.25;325;125;255;258;293;2400;390;400
multi;3;3300;3;4;5;165;275;167.5;325;150;255;290;335;2800;520;400
multi;3.5;3575;4;4.5;5;179;300;188.75;325;175;365;323;378;3200;650;400
multi;4;3850;4;4.5;5;193;300;210;325;200;365;355;420;3600;780;400
multi;4.5;4100;4;5;6;205;325;231.25;350;225;530;388;463;4000;910;400
multi;5;4350;4;5;6;218;325;252.5;350;250;530;420;505;4400;1040;400
multi;5.5;4600;5;6;7;230;350;273.75;350;275;750;453;548;4800;1170;400
multi;6;4850;5;6;7;243;350;295;350;300;750;485;590;5200;1300;400
single;1;2700;3;4;5;135;225;94;350;50;225;172;187;1400;450;750
single;1.5;3125;4;5;6;156;250;116;350;75;275;211;231;1800;580;825
single;2;3550;4;5;6;178;250;138;350;100;275;250;275;2200;710;900
single;2.5;3975;4;5.5;7;199;275;160;400;125;330;289;319;2600;840;975
single;3;4400;4;5.5;7;220;275;182;400;150;330;328;363;3000;970;1050
single;3.5;4800;5;6;7;240;300;204;400;175;440;367;407;3400;1100;1125
single;4;5200;5;6;7;260;300;226;400;200;440;406;451;3800;1230;1200
single;4.5;5575;5;6;7;279;325;248;450;225;605;445;495;4200;1360;1275
single;5;5950;5;6;7;298;325;270;450;250;605;484;539;4600;1490;1350
single;5.5;6325;5;7;8;316;350;292;450;275;825;523;583;5000;1620;1425
single;6;6700;5;7;8;335;350;314;450;300;825;562;627;5400;1750;1500
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
